iter	RMSE
0	4.338137302
1	3.87341883
2	3.429417534
3	3.096195201
4	2.823697292
5	2.564488075
6	2.398128327
7	2.267182585
8	2.097719371
9	1.991645566
10	1.892443736
11	1.789030697
12	1.690328198
13	1.619926762
14	1.558449618
15	1.505892028
16	1.464818403
17	1.414685253
18	1.368032371
19	1.33776119
20	1.307935631
21	1.281876004
22	1.228932403
23	1.196029593
24	1.167272728
25	1.146950564
26	1.105179999
27	1.071950698
28	1.052344972
29	1.027712729
30	1.006259973
31	0.9780381157
32	0.9581273595
33	0.9357720502
34	0.9168581245
35	0.901022501
36	0.8863681108
37	0.8712742024
38	0.8570827509
39	0.847318727
40	0.8370680123
41	0.8128423414
42	0.7965622002
43	0.7857492833
44	0.7763069543
45	0.7690046337
46	0.7540624142
47	0.7468938868
48	0.7444424868
49	0.7250637519
50	0.7122129951
51	0.6917123665
52	0.6793671377
53	0.6663168435
54	0.6482828833
55	0.6290066437
56	0.6186007183
57	0.6111899222
58	0.5876400509
59	0.5822291389
60	0.5711095408
61	0.5689332631
62	0.5575834442
63	0.5460791483
64	0.5340987408
65	0.5195488328
66	0.5068317707
67	0.4991833155
68	0.4889527604
69	0.4876459723
70	0.4789460591
71	0.4710735327
72	0.4645568566
73	0.4555058757
74	0.4519447952
75	0.4441320695
76	0.4333503454
77	0.4275801047
78	0.4208465371
79	0.412774467
80	0.4117052046
81	0.4059157446
82	0.3972119705
83	0.3905339718
84	0.3827838852
85	0.3763069471
86	0.3694055608
87	0.3616446866
88	0.3571625553
89	0.3536962352
90	0.3475571807
91	0.3442341412
92	0.3402628361
93	0.3356176762
94	0.3294185368
95	0.3286870204
96	0.3231021534
97	0.3206009106
98	0.3165418166
99	0.3123743916
