iter	Passed	Remaining
0	3	347
1	6	307
2	9	302
3	11	287
4	15	294
5	18	286
6	21	285
7	25	289
8	28	283
9	31	279
10	33	274
11	36	267
12	38	258
13	41	253
14	44	251
15	46	244
16	49	241
17	52	237
18	54	234
19	57	229
20	60	225
21	62	222
22	65	220
23	68	216
24	71	213
25	73	209
26	75	204
27	77	200
28	80	196
29	82	193
30	84	188
31	86	184
32	89	182
33	91	178
34	93	174
35	96	171
36	98	168
37	100	164
38	103	161
39	105	158
40	107	154
41	109	151
42	112	148
43	114	145
44	116	142
45	119	139
46	121	137
47	124	134
48	126	131
49	128	128
50	130	125
51	133	122
52	135	119
53	137	116
54	139	114
55	142	111
56	144	108
57	146	106
58	148	103
59	151	100
60	153	98
61	155	95
62	158	93
63	160	90
64	163	87
65	165	85
66	168	82
67	170	80
68	172	77
69	174	74
70	177	72
71	179	69
72	182	67
73	184	64
74	186	62
75	188	59
76	191	57
77	193	54
78	196	52
79	198	49
80	201	47
81	203	44
82	206	42
83	209	39
84	211	37
85	215	35
86	217	32
87	219	29
88	222	27
89	224	24
90	227	22
91	229	19
92	232	17
93	234	14
94	237	12
95	239	9
96	242	7
97	244	4
98	247	2
99	249	0
