"sim","n","p","model","rmse"
1,200,5,"Ridge",2.92305761560577
1,200,5,"RF_Ridge",3.12206478354021
1,200,5,"XGBoost_Ridge",2.41562963807315
1,200,5,"LightGBM_Ridge",2.35640461725204
1,200,5,"CatBoost_Ridge",2.34740287572737
1,200,5,"H2OGBM_Ridge",2.18613747857642
1,200,5,"Lasso",2.91415205144881
1,200,5,"RF_Lasso",3.18954085614639
1,200,5,"XGBoost_Lasso",2.55574135618072
1,200,5,"LightGBM_Lasso",2.7431404418024
1,200,5,"CatBoost_Lasso",2.71866492788727
1,200,5,"H2OGBM_Lasso",2.49147410893274
1,200,5,"ElasticNet",2.93341291536706
1,200,5,"RF_ElasticNet",3.17030521464373
1,200,5,"XGBoost_ElasticNet",2.55574135618072
1,200,5,"LightGBM_ElasticNet",2.7431404418024
1,200,5,"CatBoost_ElasticNet",2.71866492788727
1,200,5,"H2OGBM_ElasticNet",2.49147410893274
1,200,5,"RF_Full",3.1232048074683
1,200,5,"XGBoost_Full",2.41562963807315
1,200,5,"LightGBM_Full",2.35640461725204
1,200,5,"CatBoost_Full",2.34740287572737
1,200,5,"H2OGBM_Full",2.18613747857642
2,200,5,"Ridge",2.37358107237179
2,200,5,"RF_Ridge",2.27126788970459
2,200,5,"XGBoost_Ridge",2.27474546497257
2,200,5,"LightGBM_Ridge",1.70085160617101
2,200,5,"CatBoost_Ridge",1.83368306849256
2,200,5,"H2OGBM_Ridge",1.96288606917563
2,200,5,"Lasso",2.42263368252912
2,200,5,"RF_Lasso",2.31188724496932
2,200,5,"XGBoost_Lasso",2.27474546497257
2,200,5,"LightGBM_Lasso",1.70085160617101
2,200,5,"CatBoost_Lasso",1.83368306849256
2,200,5,"H2OGBM_Lasso",1.96288606917563
2,200,5,"ElasticNet",2.42345076062032
2,200,5,"RF_ElasticNet",2.267597060618
2,200,5,"XGBoost_ElasticNet",2.27474546497257
2,200,5,"LightGBM_ElasticNet",1.70085160617101
2,200,5,"CatBoost_ElasticNet",1.83368306849256
2,200,5,"H2OGBM_ElasticNet",1.96288606917563
2,200,5,"RF_Full",2.26928942920183
2,200,5,"XGBoost_Full",2.27474546497257
2,200,5,"LightGBM_Full",1.70085160617101
2,200,5,"CatBoost_Full",1.83368306849256
2,200,5,"H2OGBM_Full",1.96288606917563
3,200,5,"Ridge",2.29313939537387
3,200,5,"RF_Ridge",3.05682947277131
3,200,5,"XGBoost_Ridge",2.89811887081851
3,200,5,"LightGBM_Ridge",1.70565433786601
3,200,5,"CatBoost_Ridge",1.96169394106026
3,200,5,"H2OGBM_Ridge",1.74723056940825
3,200,5,"Lasso",2.23382209599531
3,200,5,"RF_Lasso",3.11634590448422
3,200,5,"XGBoost_Lasso",2.89811887081851
3,200,5,"LightGBM_Lasso",1.70565433786601
3,200,5,"CatBoost_Lasso",1.96169394106026
3,200,5,"H2OGBM_Lasso",1.74723056940825
3,200,5,"ElasticNet",2.23423910891544
3,200,5,"RF_ElasticNet",3.10751978382352
3,200,5,"XGBoost_ElasticNet",2.89811887081851
3,200,5,"LightGBM_ElasticNet",1.70565433786601
3,200,5,"CatBoost_ElasticNet",1.96169394106026
3,200,5,"H2OGBM_ElasticNet",1.74723056940825
3,200,5,"RF_Full",3.09663596197191
3,200,5,"XGBoost_Full",2.89811887081851
3,200,5,"LightGBM_Full",1.70565433786601
3,200,5,"CatBoost_Full",1.96169394106026
3,200,5,"H2OGBM_Full",1.74723056940825
4,200,5,"Ridge",2.51968073893166
4,200,5,"RF_Ridge",2.53610385198796
4,200,5,"XGBoost_Ridge",2.06066296787708
4,200,5,"LightGBM_Ridge",1.56283647211319
4,200,5,"CatBoost_Ridge",1.71136652700962
4,200,5,"H2OGBM_Ridge",1.55216826745274
4,200,5,"Lasso",2.54039280378657
4,200,5,"RF_Lasso",2.52189465422233
4,200,5,"XGBoost_Lasso",2.06066296787708
4,200,5,"LightGBM_Lasso",1.56283647211319
4,200,5,"CatBoost_Lasso",1.71136652700962
4,200,5,"H2OGBM_Lasso",1.55216826745274
4,200,5,"ElasticNet",2.54009338821185
4,200,5,"RF_ElasticNet",2.50103433950967
4,200,5,"XGBoost_ElasticNet",2.06066296787708
4,200,5,"LightGBM_ElasticNet",1.56283647211319
4,200,5,"CatBoost_ElasticNet",1.71136652700962
4,200,5,"H2OGBM_ElasticNet",1.55216826745274
4,200,5,"RF_Full",2.52318851986594
4,200,5,"XGBoost_Full",2.06066296787708
4,200,5,"LightGBM_Full",1.56283647211319
4,200,5,"CatBoost_Full",1.71136652700962
4,200,5,"H2OGBM_Full",1.55216826745274
5,200,5,"Ridge",2.19053502561086
5,200,5,"RF_Ridge",1.83156675195547
5,200,5,"XGBoost_Ridge",1.31819957491874
5,200,5,"LightGBM_Ridge",1.45980846092359
5,200,5,"CatBoost_Ridge",1.56281899793094
5,200,5,"H2OGBM_Ridge",1.33461838797643
5,200,5,"Lasso",2.23016708267262
5,200,5,"RF_Lasso",1.85956063900964
5,200,5,"XGBoost_Lasso",1.31819957491874
5,200,5,"LightGBM_Lasso",1.45980846092359
5,200,5,"CatBoost_Lasso",1.56281899793094
5,200,5,"H2OGBM_Lasso",1.33461838797643
5,200,5,"ElasticNet",2.23070849426803
5,200,5,"RF_ElasticNet",1.87218874225845
5,200,5,"XGBoost_ElasticNet",1.31819957491874
5,200,5,"LightGBM_ElasticNet",1.45980846092359
5,200,5,"CatBoost_ElasticNet",1.56281899793094
5,200,5,"H2OGBM_ElasticNet",1.33461838797643
5,200,5,"RF_Full",1.83825879245048
5,200,5,"XGBoost_Full",1.31819957491874
5,200,5,"LightGBM_Full",1.45980846092359
5,200,5,"CatBoost_Full",1.56281899793094
5,200,5,"H2OGBM_Full",1.33461838797643
6,200,5,"Ridge",2.625151789864
6,200,5,"RF_Ridge",1.99316453734242
6,200,5,"XGBoost_Ridge",1.62176231605318
6,200,5,"LightGBM_Ridge",1.60774189272553
6,200,5,"CatBoost_Ridge",1.45584626803015
6,200,5,"H2OGBM_Ridge",1.77356455518937
6,200,5,"Lasso",2.67215057285252
6,200,5,"RF_Lasso",2.30397004164113
6,200,5,"XGBoost_Lasso",2.19720639231107
6,200,5,"LightGBM_Lasso",2.43710204081355
6,200,5,"CatBoost_Lasso",2.33798686170703
6,200,5,"H2OGBM_Lasso",2.48105184558906
6,200,5,"ElasticNet",2.67056382501703
6,200,5,"RF_ElasticNet",2.27957832090143
6,200,5,"XGBoost_ElasticNet",2.19720639231107
6,200,5,"LightGBM_ElasticNet",2.43710204081355
6,200,5,"CatBoost_ElasticNet",2.33798686170703
6,200,5,"H2OGBM_ElasticNet",2.48105184558906
6,200,5,"RF_Full",1.95749837231851
6,200,5,"XGBoost_Full",1.62176231605318
6,200,5,"LightGBM_Full",1.60774189272553
6,200,5,"CatBoost_Full",1.45584626803015
6,200,5,"H2OGBM_Full",1.77356455518937
7,200,5,"Ridge",2.22043077099807
7,200,5,"RF_Ridge",2.41173131133332
7,200,5,"XGBoost_Ridge",2.04130818116085
7,200,5,"LightGBM_Ridge",1.60715045242823
7,200,5,"CatBoost_Ridge",1.23486453399328
7,200,5,"H2OGBM_Ridge",1.50123336005535
7,200,5,"Lasso",2.18580524330498
7,200,5,"RF_Lasso",2.40285994029015
7,200,5,"XGBoost_Lasso",2.04130818116085
7,200,5,"LightGBM_Lasso",1.60715045242823
7,200,5,"CatBoost_Lasso",1.23486453399328
7,200,5,"H2OGBM_Lasso",1.50123336005535
7,200,5,"ElasticNet",2.19698901919051
7,200,5,"RF_ElasticNet",2.34197222438524
7,200,5,"XGBoost_ElasticNet",2.04130818116085
7,200,5,"LightGBM_ElasticNet",1.60715045242823
7,200,5,"CatBoost_ElasticNet",1.23486453399328
7,200,5,"H2OGBM_ElasticNet",1.50123336005535
7,200,5,"RF_Full",2.46518579936213
7,200,5,"XGBoost_Full",2.04130818116085
7,200,5,"LightGBM_Full",1.60715045242823
7,200,5,"CatBoost_Full",1.23486453399328
7,200,5,"H2OGBM_Full",1.50123336005535
8,200,5,"Ridge",2.35028087762101
8,200,5,"RF_Ridge",2.7957453557088
8,200,5,"XGBoost_Ridge",2.29180173078944
8,200,5,"LightGBM_Ridge",2.0951543318652
8,200,5,"CatBoost_Ridge",1.80791074795439
8,200,5,"H2OGBM_Ridge",2.15562359610558
8,200,5,"Lasso",2.28723533889311
8,200,5,"RF_Lasso",2.86628749965986
8,200,5,"XGBoost_Lasso",2.29180173078944
8,200,5,"LightGBM_Lasso",2.0951543318652
8,200,5,"CatBoost_Lasso",1.80791074795439
8,200,5,"H2OGBM_Lasso",2.15562359610558
8,200,5,"ElasticNet",2.28802146985091
8,200,5,"RF_ElasticNet",2.8592252020462
8,200,5,"XGBoost_ElasticNet",2.29180173078944
8,200,5,"LightGBM_ElasticNet",2.0951543318652
8,200,5,"CatBoost_ElasticNet",1.80791074795439
8,200,5,"H2OGBM_ElasticNet",2.15562359610558
8,200,5,"RF_Full",2.79635524540684
8,200,5,"XGBoost_Full",2.29180173078944
8,200,5,"LightGBM_Full",2.0951543318652
8,200,5,"CatBoost_Full",1.80791074795439
8,200,5,"H2OGBM_Full",2.15562359610558
9,200,5,"Ridge",2.47468010443191
9,200,5,"RF_Ridge",2.28934483201943
9,200,5,"XGBoost_Ridge",2.16066418636732
9,200,5,"LightGBM_Ridge",1.57375240303338
9,200,5,"CatBoost_Ridge",1.79709154583545
9,200,5,"H2OGBM_Ridge",1.83742777078925
9,200,5,"Lasso",2.47563858974687
9,200,5,"RF_Lasso",2.28484056428774
9,200,5,"XGBoost_Lasso",2.16066418636732
9,200,5,"LightGBM_Lasso",1.57375240303338
9,200,5,"CatBoost_Lasso",1.79709154583545
9,200,5,"H2OGBM_Lasso",1.83742777078925
9,200,5,"ElasticNet",2.493482225805
9,200,5,"RF_ElasticNet",2.25199066502616
9,200,5,"XGBoost_ElasticNet",2.16066418636732
9,200,5,"LightGBM_ElasticNet",1.57375240303338
9,200,5,"CatBoost_ElasticNet",1.79709154583545
9,200,5,"H2OGBM_ElasticNet",1.83742777078925
9,200,5,"RF_Full",2.26425242868576
9,200,5,"XGBoost_Full",2.16066418636732
9,200,5,"LightGBM_Full",1.57375240303338
9,200,5,"CatBoost_Full",1.79709154583545
9,200,5,"H2OGBM_Full",1.83742777078925
10,200,5,"Ridge",2.38413284366936
10,200,5,"RF_Ridge",2.61523555997722
10,200,5,"XGBoost_Ridge",2.02235206212929
10,200,5,"LightGBM_Ridge",1.96391015451541
10,200,5,"CatBoost_Ridge",1.80667628611639
10,200,5,"H2OGBM_Ridge",1.91986794145608
10,200,5,"Lasso",2.39918711140634
10,200,5,"RF_Lasso",2.63644684297828
10,200,5,"XGBoost_Lasso",2.56255955046589
10,200,5,"LightGBM_Lasso",2.35813274192486
10,200,5,"CatBoost_Lasso",2.24614676032363
10,200,5,"H2OGBM_Lasso",2.43328011872924
10,200,5,"ElasticNet",2.39510353481064
10,200,5,"RF_ElasticNet",2.58915757247429
10,200,5,"XGBoost_ElasticNet",2.56255955046589
10,200,5,"LightGBM_ElasticNet",2.35813274192486
10,200,5,"CatBoost_ElasticNet",2.24614676032363
10,200,5,"H2OGBM_ElasticNet",2.43328011872924
10,200,5,"RF_Full",2.63503950887889
10,200,5,"XGBoost_Full",2.02235206212929
10,200,5,"LightGBM_Full",1.96391015451541
10,200,5,"CatBoost_Full",1.80667628611639
10,200,5,"H2OGBM_Full",1.91986794145608
1,200,10,"Ridge",2.85587539440879
1,200,10,"RF_Ridge",2.69179055940464
1,200,10,"XGBoost_Ridge",2.38701749335598
1,200,10,"LightGBM_Ridge",2.12782748357001
1,200,10,"CatBoost_Ridge",2.12179185691742
1,200,10,"H2OGBM_Ridge",2.35862398010443
1,200,10,"Lasso",2.89827938082974
1,200,10,"RF_Lasso",2.50386577031864
1,200,10,"XGBoost_Lasso",2.40684676046057
1,200,10,"LightGBM_Lasso",2.03423904638223
1,200,10,"CatBoost_Lasso",1.87247685863358
1,200,10,"H2OGBM_Lasso",2.34845306218989
1,200,10,"ElasticNet",2.87352619762073
1,200,10,"RF_ElasticNet",2.6686298034168
1,200,10,"XGBoost_ElasticNet",2.38701749335598
1,200,10,"LightGBM_ElasticNet",2.12782748357001
1,200,10,"CatBoost_ElasticNet",2.12179185691742
1,200,10,"H2OGBM_ElasticNet",2.35862398010443
1,200,10,"RF_Full",2.61031144092831
1,200,10,"XGBoost_Full",2.38701749335598
1,200,10,"LightGBM_Full",2.12782748357001
1,200,10,"CatBoost_Full",2.12179185691742
1,200,10,"H2OGBM_Full",2.35862398010443
2,200,10,"Ridge",2.93947996402696
2,200,10,"RF_Ridge",3.12391086793286
2,200,10,"XGBoost_Ridge",2.80388397496671
2,200,10,"LightGBM_Ridge",2.16831757899488
2,200,10,"CatBoost_Ridge",2.4826136299594
